brand_id,brand_name,level1_category,adg,ado,adq
1146604,Intel,Hardware & 3C,"454,092",103,152
1090577,DiFF,Women's Apparel,"452,286",923,"3,561"
2562528,Kirkland Signature,Home & Living,"450,700",586,"1,673"
1111843,PRO-PARTNER 葡眾,Health,"450,697",228,403
2240184,SOFY,Beauty,"447,895","1,378","6,264"
1095664,Kang Hsuan Educational 康軒文教,Books,"444,017",642,"2,413"
1691458,Lunio,Home & Living,"441,188",70,80
1105406,遠東,Tickets & Services,"437,170",45,97
4958787,BambuLab,Hardware & 3C,"436,852",73,471
1108384,翰林,Books,"435,465",634,"1,982"
1146652,Kingston,Hardware & 3C,"432,814",177,297
1141931,補體素,Health,"429,442",212,380
1104855,Relove,Beauty,"429,189",310,603
1146590,Huggies,Mother & Baby,"428,114",899,"2,645"
1801655,Kodak,Hardware & 3C,"426,673",287,501
1083594,JEROSSE 婕樂纖,Health,"426,494",187,471
1217514,RED COW 紅牛,Sports & Outdoors,"426,143",416,"1,223"
1801765,Lock&Lock,Home & Living,"422,428",744,"1,225"
1800624,Beyblade,Life & Entertainment,"422,317",293,489
4798464,owala,Home & Living,"422,109",450,717
1802507,SKECHERS,Sports & Outdoors,"418,113",201,"7,565"
1098417,LitoMon 怪獸部落,Pets,"417,956",487,"4,073"
2340366,unicharm,Pets,"403,187",589,"5,872"
1146150,舞光,Home & Living,"400,461",367,"2,032"
1146758,Microsoft,Hardware & 3C,"400,300",334,"5,806"
1800401,Air Space,Women's Apparel,"397,014",294,694
1163981,達摩本草,Health,"395,967",243,472
1802740,Toyota,Motors,"395,170",524,"3,620"
1802959,Yonex,Sports & Outdoors,"394,015",256,699
1133717,SENTOSA 三多,Health,"392,768",379,989
1111304,K-WAX,Motors,"391,431",441,"2,046"
1802087,Nivea,Beauty,"388,521",989,"2,057"
1220228,統一,Food & Beverages,"387,825","1,720","4,980"
1216260,KEYWAY 聯府,Home & Living,"385,756",435,"1,514"
2387597,L'Oreal Paris,Beauty,"378,735",519,"1,102"
1146668,Kotex,Beauty,"377,909","1,391","6,542"
4275777,Seappiness 西旎斯,Everything Else,"377,661",721,"1,388"
1802783,Under Armour,Sports & Outdoors,"375,238",269,416
2565012,Renecell,Beauty,"375,139",115,383
1109573,金瑞利時尚珠寶,Women Accessories,"374,822",50,405
1087553,DTAudio,Hardware & 3C,"374,625",955,"1,388"
1802908,Worx,Home & Living,"370,194",118,167
1214874,BlueCat 藍貓,Home & Living,"368,418",578,"1,197"
4128074,m2美度,Health,"367,120",159,380
1113861,Farmina 法米納,Pets,"366,839",195,663
3166971,TRUNEY,Women Accessories,"365,208",17,37
1110839,Dr.P 包大人,Mother & Baby,"363,745",357,708
1082663,BARISTA COFFEE 西雅圖極品咖啡,Food & Beverages,"362,211",536,"2,050"
3773613,Skintific,Beauty,"358,969",517,945
1801029,Dreame,Home Electronic,"358,495",62,104
1147172,Western Digital,Hardware & 3C,"357,958",64,103
1146457,Durex,Beauty,"357,854",713,"1,307"
1091919,MARS,Sports & Outdoors,"354,777",179,"3,458"
1125731,FUTURE LAB. 未來實驗室,Home Electronic,"354,589",187,230
1095062,China Mobile 中國移動,Mobile & Gadgets,"353,604",561,"3,497"
2563161,Meditherapy,Beauty,"352,405",402,657
1800802,Cetaphil,Beauty,"352,030",408,651
2690434,Soundcore,Mobile & Gadgets,"348,600",169,184
1801911,Micron,Hardware & 3C,"348,590",74,104
1800466,Anker,Mobile & Gadgets,"341,070",226,299
2563581,Nestle,Food & Beverages,"341,053",347,"1,302"
1140930,Soapberry Biotech 無患子生物科技,Home & Living,"338,553",516,999
2240053,INCELLDERM,Beauty,"335,235",128,268
2340171,VICTOR,Sports & Outdoors,"334,781",275,613
1084627,DESMOND 岱思夢,Home & Living,"334,572",330,512
1219436,元大珠寶,Women Accessories,"334,228",25,29
1086844,HOPMA 合馬家具,Home & Living,"334,046",197,376
1141633,愛之味,Food & Beverages,"331,873",679,"1,578"
1220242,綠綠好日,Home Electronic,"328,141",264,532
3412981,Dior,Beauty,"326,466",182,383
5572475,Xpanse,Home & Living,"325,661",97,102
5162473,JELLYCAT,Mother & Baby,"325,612",163,445
1801845,Marshall,Hardware & 3C,"322,932",51,57
1218098,TAIYEN 台鹽,Food & Beverages,"321,775",646,"2,324"
2565273,Timberland,Shoes,"321,470",144,180
1142015,風車圖書,Mother & Baby,"319,230",547,"1,910"
1105078,TOYSELECT,Mobile & Gadgets,"317,290",276,354
1103296,Vitabox 維他盒子,Health,"316,031",177,595
1266505,PetsTimes 毛孩時代,Pets,"315,514",282,667
5201346,JV,Mobile & Gadgets,"311,264",655,"1,441"
1112212,TOMA-PRO 優格,Pets,"310,211",232,517
1800798,Centrum,Health,"306,289",307,468
3232229,BRAND'S,Health,"306,094",173,636
5433156,ASAHI,Home & Living,"305,442",196,"1,987"
1802658,Tefal,Home & Living,"303,627",282,361
3527280,National Geographic,Mobile & Gadgets,"301,586",230,292
1090526,OLIMA,Motors,"300,348",348,"1,603"
4780862,Hetras.,Beauty,"299,990",454,854
1099594,UNBLOCK TECH 安博科技,Home Electronic,"299,705",128,193
1801695,Lancome,Beauty,"298,943",222,"1,124"
1139626,Mdmmd.,Beauty,"296,307",499,"5,008"
1146249,AMD,Hardware & 3C,"296,285",37,48
2559395,Ariel,Home & Living,"294,589",489,"1,062"
1801740,Levi's,Men's Apparel,"294,441",146,226
1216856,MarCella 瑪榭,Women's Apparel,"293,464",380,"1,662"
1800716,Brother,Hardware & 3C,"292,196",109,227
1138626,Magic Amah 妙管家,Home & Living,"290,065","1,723","4,157"
3500953,KI WISH 奇意生活館,Home & Living,"288,366",212,664
1091836,ATTENTION,Women's Apparel,"287,854",287,725
1216128,JINKON 晶工,Home Electronic,"287,833",259,296
1146546,Good Smile Company,Life & Entertainment,"286,470",153,189
1088248,Garena,Game Kingdom,"286,005",260,363
1093667,hoda 好貼,Mobile & Gadgets,"285,970",286,462
2340566,TOTO,Home & Living,"285,598",66,289
1129092,funcare 船井,Health,"285,090",204,471
1084481,五月花,Home & Living,"282,851",549,"1,747"
3968143,CONVERSE,Sports & Outdoors,"282,243",161,185
1146401,Colgate,Home & Living,"281,799",789,"2,258"
1145470,PILOT 百樂,Home & Living,"281,602",653,"6,655"
1146612,JBL,Hardware & 3C,"279,642",91,109
3577941,嚴萃,Health,"279,642",237,737
1129815,Carnation 康乃馨,Mother & Baby,"277,615",822,"3,857"
1091077,Baan 貝恩,Mother & Baby,"274,698",383,953
1130825,Andante 春風,Home & Living,"274,038",561,"1,125"
1101812,YANNIGO 亞尼活力,Health,"273,667",162,217
1217218,PERFECT 理想,Home & Living,"272,324",391,"1,024"
1218400,U-ta,Hardware & 3C,"272,314",413,805
1220475,醫強,Home & Living,"272,302",665,"1,788"
1087973,imos,Mobile & Gadgets,"271,354",219,311
1099661,TAKEWAY,Motors,"269,812",183,221
3669019,XEXYMIX,Sports & Outdoors,"268,542",151,295
1801654,Kobayashi,Home & Living,"268,194",684,"2,677"
1107719,SWANSON 斯旺森,Health,"267,916",382,777
1081650,一番賞,Life & Entertainment,"267,502",241,553
1146128,PBF 寶齡富錦生技,Health,"266,866",151,406
1146303,Banpresto,Life & Entertainment,"265,895",302,469
1102804,YOHOPOWER 悠活原力,Health,"265,386",279,587
1146500,Fernleaf,Mother & Baby,"265,168",235,515
1141955,賀眾牌,Home Electronic,"264,986",81,146
3370667,KOGI 宏瑋,Home & Living,"264,772",900,"6,168"
1801783,Louis Vuitton,Women Bags,"263,868",54,165
1801583,Kangol,Women Bags,"263,173",290,409
1800644,Bioderma,Beauty,"259,142",340,545
1140534,MIRAE 未來美,Beauty,"258,153",178,461
1103433,Mobby CHOICE 莫比自然食,Pets,"257,641",241,453
1695300,Toshiba,Home Electronic,"256,483",246,829
1366067,APGO,Motors,"255,484",296,"1,591"
5983882,COMFIZ 康菲,Mother & Baby,"255,220",925,"2,718"
1140663,My Scheming 我的心機,Beauty,"254,454",886,"2,723"
1801062,Ecovacs,Home Electronic,"252,849",37,61
1131306,KATE 凱婷,Beauty,"252,325",721,"1,188"
1088994,Gigastone,Mobile & Gadgets,"250,632",281,371
1104482,wowprime 王品,Tickets & Services,"250,589",151,301
1695306,UAG,Mobile & Gadgets,"250,532",191,227
1108335,Shallop 刷樂,Home & Living,"247,836","1,071","3,444"
1219130,nac nac,Mother & Baby,"247,769",445,"1,257"
1090326,DESIRE SHOP,Women's Apparel,"247,700",296,788
1218221,Lab52 齒妍堂,Mother & Baby,"247,010",514,"1,089"
3727997,DAIWA,Sports & Outdoors,"246,877",101,181
1800390,AHC,Beauty,"246,737",301,617
1282834,原木香,Home & Living,"246,391",318,935
1139144,YUASA 湯淺,Motors,"246,024",254,331
1090294,LAPO,Mobile & Gadgets,"245,445",152,186
1087803,HUEI YEH 輝葉,Sports & Outdoors,"245,156",44,47
1100071,SANSUI 山水,Home Electronic,"243,836",99,138
1801733,Lenor,Home & Living,"242,722",476,"1,269"
1802635,Synology,Hardware & 3C,"242,685",19,41
4413421,Canmake,Beauty,"240,132",568,972
1349012,AnD House,Home & Living,"239,093",123,196
1216057,IRIS OHYAMA,Home Electronic,"237,928",164,320
1114282,pidan,Pets,"236,516",368,818
1800651,Biore,Beauty,"235,826",775,"2,100"
1085782,CHIMEI 奇美,Home Electronic,"234,956",98,109
1215846,HCG 和成,Home & Living,"234,832",156,422
1801116,Estee Lauder,Beauty,"234,709",232,964
3231766,Bailan (白蘭),Home & Living,"234,659",767,"2,431"
1801956,MLB,Men's Bags& Accessories,"234,508",146,193
1147120,Transcend,Hardware & 3C,"234,374",106,170
1087504,icon 愛康,Beauty,"233,831",522,"5,707"
1141797,益富,Health,"233,604",96,205
1140764,Shopee 蝦皮購物,Home & Living,"233,392","15,462","16,853"
1101949,uni 三菱鉛筆,Home & Living,"233,209",543,"3,486"
1101212,SDI 手牌,Home & Living,"232,818",579,"4,737"
1091037,HeySong 黑松,Food & Beverages,"232,561",901,"2,148"
1146755,Merries,Mother & Baby,"232,010",381,701
1098353,csd 中衛,Home & Living,"231,886",501,"6,002"
1141485,光泉,Food & Beverages,"231,825",853,"2,132"
1140078,Viva 萬歲牌,Food & Beverages,"230,741",372,"1,012"
1801459,Innisfree,Beauty,"230,519",329,944
4700205,eiP,Mobile & Gadgets,"230,415",163,213
2387626,NOW,Health,"227,079",224,320
2561477,FILA,Sports & Outdoors,"225,339",202,327
1106001,SP 廣穎,Hardware & 3C,"223,827",176,266
1160212,BODY GOALS,Sports & Outdoors,"223,807",363,"4,431"
1218259,TRYALL,Sports & Outdoors,"223,428",290,943
1138974,WOKY 沃廚,Home & Living,"223,352",314,397
1801618,Kiehl's,Beauty,"223,035",148,307
1139704,ucc,Food & Beverages,"222,283",511,"1,634"
1271753,九五之丹,Health,"220,756",198,715
1093834,hoppi,Mother & Baby,"220,456",418,684
1146343,Bose,Hardware & 3C,"219,397",32,35
1801975,Montbell,Sports & Outdoors,"219,217",134,186
1290077,ataraxis 興安,Home & Living,"218,247",449,"1,591"
1103945,Yera 怡悅,Home Electronic,"217,529",270,735
1142032,魚大俠,Food & Beverages,"217,386",172,"2,692"
1146583,Honda,Motors,"216,868",222,521
4962120,Braun,Home Electronic,"215,946",143,173
3437814,Eau Thermale Avène,Beauty,"215,477",239,396
1103589,YURUBRA 玉如阿姨,Women's Apparel,"215,472",188,679
1801373,Hermes,Women Bags,"214,775",57,130
1140676,SesaOle 芝初,Food & Beverages,"214,352",385,814
1801626,KINCHO,Home & Living,"214,322",224,408
1526634,PUREBURG,Home Electronic,"214,013",241,410
1800399,Air Jordan,Sports & Outdoors,"213,783",73,89
1138071,UHA 味覺糖,Health,"212,797",478,"1,441"
1094667,Alcon 愛爾康,Health,"212,116",371,759
1214969,CHECK2CHECK,Sports & Outdoors,"211,952",140,296
1802494,Shu Uemura,Beauty,"210,472",204,"1,278"
1131423,RENATA 蕾娜塔,Beauty,"210,214",287,448
4069949,Simply,Health,"209,575",115,200
1147004,Sensodyne,Home & Living,"209,373",537,"1,220"
1124815,Dr.Hsieh 達特醫,Beauty,"209,255",258,511
1147198,Saint Laurent,Beauty,"209,141",138,358
1146972,SM Entertainment,Life & Entertainment,"209,072",174,311
1802505,Skater,Mother & Baby,"207,715",460,904
1125576,HUA YAN 華元,Food & Beverages,"207,161","1,387","8,589"
1108032,topps,Life & Entertainment,"206,554",94,200
1095067,China unicom 中國聯通,Mobile & Gadgets,"205,836",321,604
1106918,營養師輕食,Health,"205,732",86,145
1264361,古寶無患子,Home & Living,"205,325",455,905
5345381,D-BOX 紙箱龍,Home & Living,"205,270",207,"30,812"
1146780,Motul,Motors,"205,015",183,603
1800525,Audio-Technica,Hardware & 3C,"204,627",89,100
1217555,ROG,Hardware & 3C,"204,627",32,94
1141189,solone,Beauty,"204,606",415,"1,261"
1303046,皮小姐衣櫃,Women's Apparel,"204,557",146,256
1096398,Nutritec Enjoy 益富,Health,"202,626",81,327
1146614,JYP Entertainment,Life & Entertainment,"202,153",162,285
1088615,irocks,Hardware & 3C,"201,683",46,53
1088287,APEXX,Motors,"199,752",123,171
1108304,美吾髮,Beauty,"199,211",381,757
1218216,TONG LI 東立,Books,"198,982",295,516
1081890,EASYCARD 悠遊卡,Life & Entertainment,"198,608",497,884
1695273,Dell,Hardware & 3C,"197,838",42,59
6508018,KINYO,Mobile & Gadgets,"197,689",414,554
1800334,3D,Motors,"197,666",53,"1,152"
1801899,Mentholatum,Beauty,"197,587",589,"1,511"
1141958,農純鄉,Mother & Baby,"197,089",247,"1,112"
1130878,NARUKO 牛爾,Beauty,"196,901",334,683
1146816,Nikon,Hardware & 3C,"195,850",43,51
1802809,Vaseline,Beauty,"195,714",639,"1,838"
1141855,老協珍,Health,"194,585",108,312
1104504,RAYmii 瑞米,Hardware & 3C,"194,432",139,290
1126031,DaChan 大成,Food & Beverages,"193,611",157,796
1112330,WE'RE ABLE 薇爾艾伯,Health,"193,354",206,641
1099508,TAJIMA 田島,Home & Living,"193,131",147,364
1146999,SEGA,Life & Entertainment,"190,892",284,"1,031"
1141733,泰山,Food & Beverages,"190,458",454,"1,030"
1127825,BUY LOVE 買到戀愛,Women's Apparel,"190,183",440,"1,518"
1140840,Sinphar 杏輝醫藥,Health,"190,170",112,257
1130265,O'right 歐萊德,Beauty,"189,798",133,236
4436110,DEVILCASE,Mobile & Gadgets,"189,563",220,313
1802456,Sebamed,Beauty,"189,198",306,561
1216222,KA'FEN 卡氛,Beauty,"188,861",300,697
1557801,Ogula 小倉,Home & Living,"188,776",74,110
2564899,Recolte,Home Electronic,"188,318",82,95
1093385,OUTPERFORM 奧德蒙,Sports & Outdoors,"187,573",160,192
1120883,DELTA 台達,Home Electronic,"187,444",61,98
5337495,好惠買,Home & Living,"186,953","10,221","12,925"
1135847,Rinnai 林內,Home Electronic,"186,761",66,131
1131954,TESCOM,Home Electronic,"186,663",192,220
1085235,DIDI,Mother & Baby,"186,252",75,258
1215159,COOK POWER 鍋寶,Home & Living,"186,092",246,345
6138482,POK,Mobile & Gadgets,"185,658",200,251
1146769,Mobil,Motors,"184,860",150,650
1800857,Coca-Cola,Food & Beverages,"184,724","1,025","2,417"
3945022,c&d,Home & Living,"184,669",66,351
1139823,Vilson 米森,Sports & Outdoors,"184,472",252,681
1800909,Crocs,Shoes,"184,226",108,127
1215565,台塑生醫,Health,"184,216",264,613
2903008,GIVE POWER 極力,Home & Living,"184,116",222,"1,015"
1800987,Dewalt,Home & Living,"183,766",63,143
1802675,Thermos,Home & Living,"183,701",216,858
1286672,迎鶴珠寶,Women Accessories,"183,631",15,16
1146937,Ralph Lauren,Men's Apparel,"183,577",97,134
1695293,Realme,Mobile & Gadgets,"182,992",46,65
1146665,Konami,Life & Entertainment,"182,864",155,"1,083"
1371479,HARU,Beauty,"182,659",350,"1,007"
1802055,Nescafe,Food & Beverages,"182,397",263,"1,162"
1802299,Protos,Home & Living,"182,029",292,"1,378"
1111148,Herb & Health,Beauty,"181,621",237,358
1098922,RAINBOW 虹牌油漆,Home & Living,"181,247",160,304
3116822,MUSE TIME 莯蒔,Health,"180,327",62,175
1102894,Mio,Motors,"180,046",132,160
1087341,iWALK,Mobile & Gadgets,"179,396",201,268
3009441,展榮,Food & Beverages,"179,286",351,"1,303"
1297983,NOTORIOUS,Sports & Outdoors,"179,182",96,255
1139733,SUMEASY 順易利,Home & Living,"178,648",447,"2,183"
3897207,GOON,Mother & Baby,"178,458",224,368
1099181,WAJASS 威傑士,Beauty,"177,905",277,505
1801884,MegaHouse,Life & Entertainment,"177,867",92,114
3370292,Atomy,Beauty,"177,142",222,633
1801901,Mercedes-Benz,Motors,"177,027",210,929
1141581,娘家,Health,"176,234",61,112
1802391,rom&nd,Beauty,"176,200",313,689
1402181,Semeur De Bed 紳娜多,Home & Living,"175,870",136,"4,015"
1147107,Tommy Hilfiger,Men's Apparel,"175,734",97,146
1091096,ASSARI,Home & Living,"175,419",44,62
2261171,Hero Mama,Pets,"175,414",203,"1,269"
3311207,MAGEASY,Mobile & Gadgets,"175,326",183,237
1120091,FENGJIE 豐傑生醫,Health,"175,319",164,328
1219541,台北漢來海港餐廳,Tickets & Services,"175,194",45,98
1139926,topax 莊頭北,Home Electronic,"174,776",35,40
4475978,A++ SHOES,Shoes,"174,747",447,765
1801870,Maybelline,Beauty,"174,726",337,702
1090199,原萃,Food & Beverages,"174,585",882,"2,532"
1801067,Edifier,Hardware & 3C,"173,382",63,66
1800778,CASETiFY,Mobile & Gadgets,"172,935",116,"1,019"
1093100,KLIM 克寧,Food & Beverages,"172,592",185,442
3519216,TOMICA,Life & Entertainment,"172,584",289,583
1096544,Arowana,Sports & Outdoors,"172,067",59,93
1094745,BlenderBottle,Sports & Outdoors,"171,982",305,506
1101232,RICHOME家昀國際,Home & Living,"171,810",94,122
1802062,New Era,Men's Bags& Accessories,"171,527",114,140
4047668,LOTTO,Sports & Outdoors,"171,298",295,503
1146349,Brembo,Motors,"171,242",43,68
1800933,Daikin,Home Electronic,"171,209",48,105
1111197,J'code 真愛密碼,Women Accessories,"171,175",15,19
1131185,OKLAO SPECIALTY COFFEE 歐客佬精品咖啡農場,Food & Beverages,"171,050",168,"1,047"
5490145,RYZY,Sports & Outdoors,"169,840",283,730
2676461,MUFU,Motors,"169,583",94,155
1217524,RENZA,Home Electronic,"169,498",189,369
1802012,Mustela,Mother & Baby,"169,352",214,351
1086292,GRAPE KING BIO 葡萄王生技,Health,"169,089",176,463
1104156,東立,Books,"169,012",241,463
1147133,Ulanzi,Hardware & 3C,"168,745",203,277
1695275,Haier,Home Electronic,"168,021",40,52
1141107,Supamop 好神拖,Home & Living,"167,590",223,346
1141522,台糖,Food & Beverages,"167,479",335,"1,431"
1114432,VIRBAC 維克,Pets,"166,734",223,485
2561611,Fwee,Beauty,"166,598",221,475
1141713,母子鱷魚,Shoes,"166,578",215,283
1094175,夏慕尼,Tickets & Services,"166,435",30,60
