source_norm,matched_id_num,source_name,source_field,latin,chinese,latin_length,matched_name,pool_category,pool_chinese,alias_source,goods,categories,title,confidence_min,confidence_max
drx達特世,4556462,DRX 達特世,品牌欄,drx,達特世,3,DRX,Beauty,,,30,Health|Home & Living,【DRX 達特世】FFP2醫用4D口罩-冰晶白-20入(成人/兒童任選),85,85
yg天鵝內衣,1102428,YG 天鵝內衣,品牌欄,yg,天鵝內衣,2,YG,Men's Apparel,,auto,29,Men's Apparel,【YG 天鵝內衣】3+1件組 銀離子抑菌消臭平口褲-速(四角內褲/男內褲),93,93
bs荷蘭,6353151,BS 荷蘭,品牌欄,bs,荷蘭,2,BS,Mother & Baby,,auto,27,Home & Living|Life & Entertainment|Mother & Baby|Sports & Outdoors,【荷蘭BS】愛吹牛的大象(團康遊戲 益智桌遊 骰子吹牛 家庭聚會),85,93
spa斐孟,3876234,spa 斐孟,品牌欄,spa,斐孟,3,SPA,Beauty,,auto,27,Beauty|Home & Living,【斐孟spa】摩洛哥油 100ml.(100%精純、抗老化肌膚、修護柔嫩),90,98
tna悠遊,1114615,T.N.A. 悠遊,品牌欄,tna,悠遊,3,T.N.A.,Pets,,auto,26,Pets,【T.N.A. 悠遊】悠遊鮮食餐包150g/24入組-犬貓適用(寵物鮮食/即食餐包),93,93
skb文明,1135929,SKB 文明,品牌欄,skb,文明,3,SKB,Home & Living,,auto,23,Home & Living,【SKB 文明】造型削鉛筆器(3款1包),98,98
ryo呂,1802408,RYO 呂,品牌欄,ryo,呂,3,Ryo,Beauty,,,21,Beauty,【RYO 呂】官方直營 強韌髮根香氛護髮髮膜 200ml(首爾夕陽/濟州微風/麟蹄林間/襄陽波濤),93,93
bsn畢斯恩,1142696,BSN 畢斯恩,品牌欄,bsn,畢斯恩,3,BSN,Sports & Outdoors,,auto,19,Food & Beverages|Sports & Outdoors,【BSN 畢斯恩】蛋白酥脆棒 盒裝12入(巧克力),90,98
ido船井醫朵,1122486,Ido 船井醫朵,品牌欄,ido,船井醫朵,3,Ido 醫朵,Beauty,醫朵,auto,18,Beauty,【Ido 船井醫朵】益生肌玻尿酸純米洗顏露50ml(臉部保養/洗面乳),93,93
hg禾淨家用,5295929,HG 禾淨家用,品牌欄,hg,禾淨家用,2,HG,Life & Entertainment,,auto,17,Home Electronic,【禾淨家用HG】Dyson戴森 適用V7.V8.V10.V11.V15 副廠吸塵器配件 LED狹縫吸頭(1入/組),90,90
muk潮嘜,1112610,MUK 潮嘜,品牌欄,muk,潮嘜,3,muk.,Beauty,,auto,14,Beauty,【MUK 潮嘜】頂級髮尾修護凝露 100ml(新裝 滋養液 免沖洗),93,93
ts東勝,1829976,TS 東勝,品牌欄,ts,東勝,2,TS,Home & Living,,auto,13,Food & Beverages|Home & Living,【TS 東勝】夏凡PIERRE ZERO 無酒精珍藏紅酒風味飲 (750ml),90,98
bwt德國倍世,1127990,BWT 德國倍世,品牌欄,bwt,德國倍世,3,BWT,Home Electronic,,auto,13,Home & Living|Home Electronic,【BWT 德國倍世】矽鎂離子濾芯 3入組(歐洲原裝進口),90,98
yu東方森草,1114633,YU 東方森草,品牌欄,yu,東方森草,2,yu',Pets,,auto,11,Pets,【YU 東方森草】輕奢淡香沐浴露250ml(沐浴乳/犬貓沐浴乳/沐浴露/洗毛精),93,93
toi圖益,1802711,TOi 圖益,品牌欄,toi,圖益,3,TOI,Life & Entertainment,,auto,11,Life & Entertainment|Mother & Baby,【TOi 圖益】海綿寶寶比奇堡地圖 拼圖1000片 正版授權 收藏拼圖 療癒桌遊卡通電影IP新年送禮,90,98
bac倍爾康,1096788,BAC 倍爾康,品牌欄,bac,倍爾康,3,bac,Shoes,,,9,Health,【BAC 倍爾康】護理隨身盒-攜帶方便(保健箱),85,85
oto歐迪奧,1802171,OTO 歐迪奧,品牌欄,oto,歐迪奧,3,OTO,Sports & Outdoors,,auto,9,Home & Living,【OTO 歐迪奧】事務強力迴紋針 28mm 霧銀款 900入裝,90,90
bnn斌瀛,1214754,BNN 斌瀛,品牌欄,bnn,斌瀛,3,BNN,Books,,auto,8,Motors|Sports & Outdoors,【BNN 斌瀛】冰酷防曬涼感袖套 高彈性透氣(UPF50+ 黑/麻灰),90,90
ace英士牌,1120063,ACE 英士牌,品牌欄,ace,英士牌,3,ACE,Food & Beverages,,,8,Home & Living,【ACE 英士牌】極致 英士墨筆 黑(3入1包),85,85
now健而婷,2387626,NOW 健而婷,品牌欄,now,健而婷,3,NOW,Health,,auto,8,Health|Home & Living,【NOW 健而婷】維他命C-500+玫瑰果(100顆/瓶),85,93
cs昌碩,2838752,CS 昌碩,品牌欄|標題【】,cs,昌碩,2,C&S,Home & Living,,auto,8,Hardware & 3C,【CS昌碩】14500 充電電池 600mAh/顆(2入),85,90
wip臺灣聯合,1334993,W.I.P 台灣聯合,品牌欄,wip,臺灣聯合,3,W.I.P,Home & Living,,auto,8,Home & Living,【W.I.P 台灣聯合】特大圖筒-附背帶(圖筒 收納筒 畫筒),98,98
ran冉,1594021,Ran 冉,品牌欄,ran,冉,3,Ran,Home & Living,,,7,Beauty|Home & Living,【Ran 冉】夏日身體清潔露組合500mlx2(洋甘菊與橙),85,93
aok飛速,1126232,AOK 飛速,品牌欄,aok,飛速,3,AOK,Home & Living,,,6,Home & Living|Men's Apparel|Women's Apparel,【AOK 飛速】兒童3D醫用口罩S號 可愛圖案任選 25入/盒(可調節耳繩),85,93
one生活,1091134,ONE 生活,品牌欄|標題【】,one,生活,3,ONE,Beauty,,,5,Home & Living,【ONE 生活】增高架/層架/書櫃層板/長28CM(收納架/分層隔板/多色),80,85
tpt友善萃取,1218239,TPT 友善萃取,標題【】,tpt,友善萃取,3,TPT,Home & Living,,,5,Home & Living,【TPT 友善萃取】洗碗機清潔超值組合(光潔劑500MLx1入+洗碗粉500gx1入送軟化鹽1KGx2入),93,93
qbi塊樂方程式,1380260,Qbi 塊樂方程式,品牌欄,qbi,塊樂方程式,3,Qbi,Mother & Baby,,auto,5,Life & Entertainment|Mother & Baby,【Qbi 塊樂方程式】偵探學院-空間解謎桌遊組(桌遊/偵探玩具/STEAM/磁力片/玩具車/軌道玩具/20pcs),90,98
js珠驤,5712923,JS 珠驤,品牌欄,js,珠驤,2,JS,Home & Living,,,5,Health,即期品【珠驤保健】順保捷膜衣錠2盒組(一盒30顆 10 in 1專利成分 非變性二型膠原蛋白 專利膜衣好吞嚥 靈活,59,59
kum庫姆,1094859,KUM 庫姆,品牌欄,kum,庫姆,3,KUM,Home & Living,,auto,5,Home & Living,【KUM 庫姆】梨形握筆器(5色隨機出貨) 5650122,98,98
api魚博士,1088305,API 魚博士,品牌欄,api,魚博士,3,API,Pets,,auto,5,Pets,【魚博士】去毒淨水生物濾材 283g,98,98
duo麗優,1087798,DUO 麗優,品牌欄,duo,麗優,3,DUO,Beauty,,auto,5,Beauty,【DUO 麗優】全新升級-五效合一卸妝膏EX 90g(日本卸妝膏排行第一/洗後滋潤保濕/去黑頭粉刺),98,98
ghr健康主義,1083601,GHR 健康主義,品牌欄,ghr,健康主義,3,GHR,Pets,,auto,5,Pets,即期品【GHR 健康主義】無穀貓糧_鮭魚配方3lbs(美國貓飼料 貓糧 貓飼料),98,98
htt新幹線,1215937,HTT 新幹線,標題【】,htt,新幹線,3,H.T.T,Home Electronic,,,5,Home & Living|Home Electronic,【HTT 新幹線】LH-323 A3護貝機(可使用 80☆-125☆ 厚度護背膠膜),85,93
ge奇異,1801249,GE 奇異,品牌欄,ge,奇異,2,GE,Home Electronic,,auto,4,Home Electronic,【GE 奇異】GE濾心 VOC3000(口感好 更健康),98,98
de第一化妝品,5656356,de 第一化妝品,品牌欄,de,第一化妝品,2,de,Sports & Outdoors,,auto,4,Beauty,【de 第一化妝品】玻尿酸保濕化粧水500g+玻尿酸精華液250g 贈500ml壓頭(雙效保濕 輕鬆鎖住肌膚水分),90,90
tas極限運動,1100263,TAS 極限運動,品牌欄,tas,極限運動,3,TAS,Shoes,,auto,4,Sports & Outdoors,【TAS 極限運動】負重款 無繩+有繩 兩用式 電子計數跳繩(負重跳繩 計數跳繩 無繩跳繩 健身跳繩),90,90
nhv藥草獸醫,1303949,NHV 藥草獸醫,品牌欄,nhv,藥草獸醫,3,NHV,Pets,,auto,4,Pets,【NHV 藥草獸醫】PLANTAERIS 腸道不拉照護營養飲100ml(寵物保健/腸胃道/消化道),98,98
ban盼,1131931,ban 盼,品牌欄,ban,盼,3,ban,Beauty,,,3,Beauty,【BAN盼】清新體香膏 73g(原廠公司貨),98,98
hr安室家,5131488,H&R 安室家,品牌欄,hr,安室家,2,H&R,Motors,,,3,Hardware & 3C|Home & Living,【H&R 安室家】27x21CM 13吋 LCD畫板 兒童畫板 畫圖板 手寫板 電子繪板 兒童畫板 電子畫板 畫畫板,79,79
rh紳士品格,1101075,RH 紳士品格,品牌欄,rh,紳士品格,2,RH,Home & Living,,auto,3,Men's Apparel,【RH 紳士品格】日系洗水刷破大彈力牛仔褲(乙刷洗淺藍色全尺碼28到36),90,90
js淇譽,1085742,JS 淇譽,品牌欄,js,淇譽,2,JS 淇譽電子,Hardware & 3C,淇譽電子,auto,3,Hardware & 3C|Home Electronic|Mobile & Gadgets,【JS 淇譽】有線電競耳機麥克風(JHG1000),85,93
cms宇祥,1110649,CMS 宇祥,品牌欄,cms,宇祥,3,CM'S,Life & Entertainment,,auto,3,Health,【AME】24杯專業型手動真空拔罐組(原裝進口韓國拔罐 耐高溫材質拔罐杯),90,90
ap磁王,6417245,AP 磁王,標題【】,ap,磁王,2,AP,Motors,,,2,Health,【AP 磁王】AP 磁王磁力貼 2000MAX-1盒組 (12粒/盒),74,74
sfe順風耳,1102559,SFE 順風耳,品牌欄,sfe,順風耳,3,SFE,Motors,,auto,2,Home Electronic,【SFE 順風耳】S320 迷你無線電對講機(操作簡易 迷你外型 2W功率 FRS免執照),90,90
斐孟spa,3876234,斐孟spa,標題【】,spa,斐孟,3,SPA,Beauty,,auto,2,Beauty|Home & Living,【斐孟spa】粉刺勾嘴夾(痘痘粉刺、不銹鋼),85,93
own對環境友善的蠟燭,5122981,O.W.N. 對環境友善的蠟燭,品牌欄,own,對環境友善的蠟燭,3,OWN,Women's Apparel,,auto,2,Home & Living,【O.W.N. 對環境友善的蠟燭】旅行蠟燭 White Jasmine 白茉莉 90G(精油、香氛蠟燭、玫瑰),90,90
sy聲億科技,1107828,SY 聲億科技,品牌欄,sy,聲億科技,2,SY 聲億,Home & Living,聲億,auto,2,Home & Living|Home Electronic,【SY 聲億科技】6W LED 高效能廣角燈泡- 白光 4入(CNS版),85,93
bp愛美力,1097853,B.P 愛美力,品牌欄,bp,愛美力,2,bp,Motors,,auto,2,Pets,【愛美力】全齡貓飼料7kg(兩入組 口味任選),90,90
dmc欣蘭,2983128,DMC 欣蘭,品牌欄,dmc,欣蘭,3,D.M.C,Life & Entertainment,,,2,Beauty,【DoMeCare】清潔凍膜 500g(欣蘭),65,65
nip德國,1097167,nip 德國,品牌欄,nip,德國,3,nip,Mother & Baby,,,2,Mother & Baby,【nip】德國嬰幼兒餐具組-9入組(餐盤+學習短湯匙),98,98
ito日本伊藤,1216067,Ito 日本伊藤,標題【】,ito,日本伊藤,3,ITO,Beauty,,,2,Food & Beverages|Home & Living,【Ito 日本伊藤】日式夾心餅乾 巧克力/香草/紅薯/奶茶/檸檬口味 任選x2盒,85,85
omo歐姆貓,3203129,OMO 歐姆貓,品牌欄,omo,歐姆貓,3,OMO,Home & Living,,,2,Pets,【OＭO 歐姆貓】機能補水罐80g*24入(貓罐、貓補水罐、全齡貓),85,85
cy呈雲,4996215,CY 呈云,標題【】,cy,呈雲,2,CY,Home & Living,,,1,Home Electronic,【CY 呈云】二代注水小氣泡電動臉部清潔儀 黑頭粉刺機(CY-138A),79,79
cam買一送一,1133309,Cam 買一送一,標題【】,cam,買一送一,3,cam,Mother & Baby,,,1,Home & Living,【Cam 買一送一】透明帶蓋衣物折疊收納箱 手提抽屜式收納盒 衣櫃整理箱 搬家收納筐儲物籃(50*44*32cm),80,80
ami阿咪,1098253,A-mi 阿咪,品牌欄,ami,阿咪,3,ami,Men's Apparel,,,1,Pets,【A-mi阿咪】天然環保豆腐砂6L原味/綠茶(3包組),85,85
eqb韓國,1084585,EQB 韓國,品牌欄,eqb,韓國,3,EQB,Mother & Baby,,,1,Life & Entertainment,【EQB】韓國益智旋轉積木(8in1 恐龍系列),90,90
id怡大,3020919,iD 怡大,品牌欄,id,怡大,2,id,Beauty,,auto,1,Mother & Baby,【iD 怡大】復健褲 夜用型10小時極乾爽L-10片x1包(歐洲原裝進口成人紙尿褲),90,90
ks凱恩絲,1111289,K’s 凱恩絲,品牌欄,ks,凱恩絲,2,K&S,Motors,,,1,Women's Apparel,【K’s 凱恩絲】開運大紅內褲-超值5件組 (款式隨機出貨),79,79
js嚴選,5712923,JS 嚴選,品牌欄,js,嚴選,2,JS,Home & Living,,,1,Women's Apparel,【JS嚴選】*買一送一*可調式超彈力束腹挺背美體護腰帶,79,79
neo天淨,1096846,NEO 天淨,品牌欄,neo,天淨,3,neo,Pets,,,1,Pets,【NEO 天淨】天然豆腐貓砂6L-3入組(貓砂/原味/綠茶),98,98
kin卡碧絲,1132039,KIN 卡碧絲,品牌欄,kin,卡碧絲,3,KIN,Beauty,,auto,1,Beauty,【KIN 卡碧絲】KIN頂級二代洗護系列 900ML /3入組,98,98
rjt結晶蜂蜜,1111908,R.J.T 結晶蜂蜜,標題【】,rjt,結晶蜂蜜,3,R.J.T,Food & Beverages,,,1,Food & Beverages,【R.J.T 結晶蜂蜜】加拿大天然乳化藍莓花蜜 330g(結晶蜜、加拿大、花蜜蜂蜜),93,93
rcm美國專業甲油膠,1099497,RCM 美國專業甲油膠,品牌欄,rcm,美國專業甲油膠,3,RCM,Beauty,,auto,1,Beauty,【RCM 美國專業甲油膠】20302(LED光撩美甲燈-黑),98,98
wip臺灣聯合文具,1334993,W.I.P台灣聯合文具,標題【】,wip,臺灣聯合文具,3,W.I.P,Home & Living,,,1,Home & Living,【W.I.P台灣聯合文具】NO.TA1119 特大防水夾鏈識別套-直式(10入裝),81,81
y3山本耀司,1802937,Y-3 山本耀司,品牌欄,y3,山本耀司,2,Y-3,Men's Apparel,,auto,1,Women Accessories,【Y-3山本耀司】Yohji Yamamoto 時尚前衛方框光學眼鏡(銀-YY3003-914),90,90
斌瀛bnn,1214754,斌瀛BNN,標題【】,bnn,斌瀛,3,BNN,Books,,auto,1,Sports & Outdoors,【斌瀛BNN】奧柏專利內斜開風雨衣(褲襠不漏水),85,85
珍實大地be碧,5720481,珍實大地 BE碧,標題【】,be,珍實大地碧,2,&be,Beauty,,,1,Food & Beverages,【珍實大地 BE碧】特級初榨冷壓橄欖油 500mL(智利橄欖油、Kosher認證、清真認證),74,74
